benchmark,tamanho,teste_omnibus,omnibus_p,levene_p,par,metodo_par,p_par,p_par_holm,diferenca_signif_holm,mais_rapido
nearest_neighbor,100000000,Kruskal-Wallis,5.777969719491771e-16,0.23795990812595913,Numba vs PolyHok,Mann-Whitney,8.828772367818556e-07,8.828772367818556e-07,True,CUDA
saxpy,50000000,Kruskal-Wallis,1.6190445776080002e-16,0.018884095181214085,CUDA vs Numba,Mann-Whitney,3.019859359162157e-11,9.002947136940248e-11,True,CUDA
saxpy,50000000,Kruskal-Wallis,1.6190445776080002e-16,0.018884095181214085,CUDA vs PolyHok,Mann-Whitney,3.000982378980083e-11,9.002947136940248e-11,True,CUDA
saxpy,50000000,Kruskal-Wallis,1.6190445776080002e-16,0.018884095181214085,Numba vs PolyHok,Mann-Whitney,4.665629549889645e-08,4.665629549889645e-08,True,CUDA
saxpy,75000000,Kruskal-Wallis,1.1743582969320228e-16,0.27846509580520246,CUDA vs Numba,Mann-Whitney,3.334223847982939e-11,8.969123777868217e-11,True,CUDA
saxpy,75000000,Kruskal-Wallis,1.1743582969320228e-16,0.27846509580520246,CUDA vs PolyHok,Mann-Whitney,2.989707925956072e-11,8.969123777868217e-11,True,CUDA
saxpy,75000000,Kruskal-Wallis,1.1743582969320228e-16,0.27846509580520246,Numba vs PolyHok,Mann-Whitney,2.0007425071520704e-08,2.0007425071520704e-08,True,CUDA
saxpy,100000000,Kruskal-Wallis,1.872217867131431e-16,0.18365075332798758,CUDA vs Numba,Mann-Whitney,3.0179667984904466e-11,9.031222112889266e-11,True,CUDA
saxpy,100000000,Kruskal-Wallis,1.872217867131431e-16,0.18365075332798758,CUDA vs PolyHok,Mann-Whitney,3.0104073709630884e-11,9.031222112889266e-11,True,CUDA
saxpy,100000000,Kruskal-Wallis,1.872217867131431e-16,0.18365075332798758,Numba vs PolyHok,Mann-Whitney,6.516810673855253e-08,6.516810673855253e-08,True,CUDA
saxpy,125000000,Kruskal-Wallis,1.0516597714043547e-14,0.7408448974919003,CUDA vs Numba,Mann-Whitney,5.572653248454238e-10,1.5183484416134777e-09,True,CUDA
saxpy,125000000,Kruskal-Wallis,1.0516597714043547e-14,0.7408448974919003,CUDA vs PolyHok,Mann-Whitney,5.061161472044926e-10,1.5183484416134777e-09,True,CUDA
saxpy,125000000,Kruskal-Wallis,1.0516597714043547e-14,0.7408448974919003,Numba vs PolyHok,Mann-Whitney,1.252073034088143e-07,1.252073034088143e-07,True,CUDA
saxpy,150000000,Kruskal-Wallis,2.6749702784104923e-15,0.26647106826420563,CUDA vs Numba,Mann-Whitney,3.019859359162157e-11,9.048225959672765e-11,True,CUDA
saxpy,150000000,Kruskal-Wallis,2.6749702784104923e-15,0.26647106826420563,CUDA vs PolyHok,Mann-Whitney,3.016075319890922e-11,9.048225959672765e-11,True,CUDA
saxpy,150000000,Kruskal-Wallis,2.6749702784104923e-15,0.26647106826420563,Numba vs PolyHok,Mann-Whitney,3.155671620889871e-05,3.155671620889871e-05,True,CUDA
