"ferramenta","benchmark","tamanho","rodada","tempo_ms"
"PolyHok","nbodies","15000","7","442.000000"
"Numba","julia","1000","7","324.220000"
"PolyHok","julia","500","7","107.000000"
"Numba","nearest_neighbor","40000000","7","738.020000"
"PolyHok","nearest_neighbor","100000000","7","1473.000000"
"PolyHok","julia","1000","7","94.000000"
"Numba","julia","2000","7","473.540000"
"PolyHok","mm","3500","7","899.000000"
"CUDA","nbodies","20000","7","298.740000"
"PolyHok","mm","4000","7","1040.000000"
"PolyHok","saxpy","75000000","7","528.000000"
"Numba","nbodies","15000","7","415.480000"
"Numba","julia","500","7","294.100000"
"CUDA","nearest_neighbor","60000000","7","565.350000"
"CUDA","nearest_neighbor","20000000","7","186.490000"
"PolyHok","nearest_neighbor","60000000","7","1047.000000"
"PolyHok","nbodies","35000","7","997.000000"
"CUDA","mm","4000","7","750.070000"
"CUDA","mm","3000","7","303.140000"
"CUDA","julia","1000","7","28.360000"
"PolyHok","mm","2500","7","492.000000"
"CUDA","nearest_neighbor","80000000","7","743.460000"
"PolyHok","saxpy","150000000","7","804.000000"
"CUDA","nbodies","30000","7","478.160000"
"PolyHok","nearest_neighbor","40000000","7","801.000000"
"PolyHok","nbodies","30000","7","896.000000"
"Numba","nbodies","30000","7","1211.380000"
"Numba","mm","4000","7","2025.090000"
"Numba","nearest_neighbor","20000000","7","510.360000"
"CUDA","nbodies","25000","7","395.650000"
"CUDA","mm","3500","7","559.420000"
"CUDA","saxpy","125000000","7","312.900000"
"PolyHok","mm","2000","7","388.000000"
"CUDA","nearest_neighbor","40000000","7","414.600000"
"PolyHok","julia","2500","7","248.000000"
"PolyHok","julia","1500","7","132.000000"
"CUDA","julia","2000","7","112.340000"
"PolyHok","nbodies","25000","7","769.000000"
"PolyHok","saxpy","125000000","7","642.000000"
"CUDA","julia","500","7","7.230000"
"Numba","mm","3000","7","970.700000"
"PolyHok","julia","2000","7","231.000000"
"CUDA","mm","2500","7","210.560000"
"CUDA","nearest_neighbor","100000000","7","929.420000"
"Numba","saxpy","50000000","7","375.640000"
"Numba","saxpy","100000000","7","524.660000"
"PolyHok","nearest_neighbor","80000000","7","1279.000000"
"Numba","nbodies","20000","7","528.850000"
"Numba","julia","2500","7","587.800000"
"CUDA","saxpy","100000000","7","251.300000"
"Numba","nbodies","35000","7","776.730000"
"CUDA","nbodies","35000","7","701.580000"
"PolyHok","nbodies","20000","7","547.000000"
"Numba","nearest_neighbor","100000000","7","1353.360000"
"Numba","nbodies","25000","7","584.730000"
"Numba","nearest_neighbor","60000000","7","934.700000"
"Numba","saxpy","75000000","7","455.940000"
"Numba","mm","2500","7","660.100000"
"CUDA","mm","2000","7","86.950000"
"PolyHok","saxpy","100000000","7","731.000000"
"PolyHok","saxpy","50000000","7","452.000000"
"Numba","mm","3500","7","1390.220000"
"CUDA","julia","1500","7","63.760000"
"CUDA","saxpy","75000000","7","195.210000"
"CUDA","julia","2500","7","175.760000"
"CUDA","saxpy","50000000","7","132.100000"
"Numba","mm","2000","7","477.090000"
"Numba","nearest_neighbor","80000000","7","1160.600000"
"Numba","saxpy","125000000","7","599.810000"
"CUDA","saxpy","150000000","7","384.020000"
"PolyHok","mm","3000","7","794.000000"
"PolyHok","nearest_neighbor","20000000","8","803.000000"
"Numba","mm","3000","8","978.300000"
"CUDA","saxpy","50000000","8","131.760000"
"PolyHok","nbodies","15000","8","419.000000"
"Numba","saxpy","100000000","8","542.420000"
"Numba","nbodies","35000","8","812.330000"
"CUDA","nbodies","35000","8","688.180000"
"CUDA","saxpy","150000000","8","376.640000"
"CUDA","julia","2000","8","113.480000"
"Numba","nearest_neighbor","60000000","8","943.040000"
"PolyHok","mm","2500","8","490.000000"
"PolyHok","saxpy","150000000","8","756.000000"
"CUDA","nbodies","20000","8","298.860000"
"PolyHok","saxpy","75000000","8","500.000000"
"PolyHok","julia","1500","8","406.000000"
"Numba","nearest_neighbor","80000000","8","1153.390000"
"Numba","julia","1500","8","387.870000"
